make,model,variant,full_name,body_type,price_ex_showroom,fuel_type,transmission,engine_cc,power_bhp,torque_nm,drivetrain,mileage_arai_kmpl,mileage_arai_km_per_kg,claimed_ev_range_km,seating_capacity,boot_space_litres,ground_clearance_mm,airbags,abs,esc,hill_assist,tyre_pressure_monitoring_system,rear_parking_sensors,rear_camera,camera_360,automatic_climate_control,rear_ac_vents,android_auto,apple_carplay,sunroof,ventilated_front_seats,connected_car_features,adas_available,source,source_last_updated
Maruti Suzuki,Swift,LXi Petrol Manual,Maruti Suzuki Swift LXi Petrol Manual,Hatchback,578900,Petrol,Manual,1197,80.0,111.7,FWD,24.8,,,5.0,,163,6,True,True,False,,True,False,False,False,False,False,False,False,False,False,False,CarWale,2026-06-19T12:29:07.747567+00:00
Maruti Suzuki,Swift,VXi Petrol Manual,Maruti Suzuki Swift VXi Petrol Manual,Hatchback,658900,Petrol,Manual,1197,80.0,111.7,FWD,24.8,,,5.0,,163,6,True,True,False,,True,False,False,False,False,True,True,False,False,False,False,CarWale,2026-06-19T12:29:07.747823+00:00
Maruti Suzuki,Swift,VXi (O) Petrol Manual,Maruti Suzuki Swift VXi (O) Petrol Manual,Hatchback,684900,Petrol,Manual,1197,80.0,111.7,FWD,24.8,,,5.0,,163,6,True,True,False,,True,False,False,False,False,True,True,False,False,False,False,CarWale,2026-06-19T12:29:07.748041+00:00
Maruti Suzuki,Swift,VXi Petrol Automatic,Maruti Suzuki Swift VXi Petrol Automatic,Hatchback,703900,Petrol,Automatic (AMT),1197,80.0,111.7,FWD,25.75,,,5.0,,163,6,True,True,True,,True,False,False,False,False,True,True,False,False,False,False,CarWale,2026-06-19T12:29:07.748256+00:00
Maruti Suzuki,Swift,VXi (O) Petrol Automatic,Maruti Suzuki Swift VXi (O) Petrol Automatic,Hatchback,729900,Petrol,Automatic (AMT),1197,80.0,111.7,FWD,25.75,,,5.0,,163,6,True,True,True,,True,False,False,False,False,True,True,False,False,False,False,CarWale,2026-06-19T12:29:07.748465+00:00
Maruti Suzuki,Swift,VXi CNG Manual,Maruti Suzuki Swift VXi CNG Manual,Hatchback,744900,CNG,Manual,1197,69.0,101.8,FWD,,32.85,,5.0,,163,6,True,True,False,,True,False,False,False,False,True,True,False,False,False,False,CarWale,2026-06-19T12:29:07.748673+00:00
Maruti Suzuki,Swift,ZXi Petrol Manual,Maruti Suzuki Swift ZXi Petrol Manual,Hatchback,752900,Petrol,Manual,1197,80.0,111.7,FWD,24.8,,,5.0,,163,6,True,True,False,,True,False,False,True,False,True,True,False,False,,False,CarWale,2026-06-19T12:29:07.748880+00:00
Maruti Suzuki,Swift,VXi (O) CNG Manual,Maruti Suzuki Swift VXi (O) CNG Manual,Hatchback,770900,CNG,Manual,1197,69.0,101.8,FWD,,32.85,,5.0,,163,6,True,True,False,,True,False,False,False,False,True,True,False,False,False,False,CarWale,2026-06-19T12:29:07.749086+00:00
Maruti Suzuki,Swift,ZXi Petrol Automatic,Maruti Suzuki Swift ZXi Petrol Automatic,Hatchback,797900,Petrol,Automatic (AMT),1197,80.0,111.7,FWD,25.75,,,5.0,,163,6,True,True,True,,True,False,False,True,False,True,True,False,False,,False,CarWale,2026-06-19T12:29:07.749293+00:00
Maruti Suzuki,Swift,ZXi Plus Petrol Manual,Maruti Suzuki Swift ZXi Plus Petrol Manual,Hatchback,819900,Petrol,Manual,1197,80.0,111.7,FWD,24.8,,,5.0,,163,6,True,True,False,,True,True,False,True,False,True,True,False,False,True,False,CarWale,2026-06-19T12:29:07.749499+00:00
